file,reducedClassName,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,severity,title,version,vulnerable
apache-tomcat-8.5.65-src/java/org/apache/coyote/http2/HpackDecoder.java,java/org/apache/coyote/http2/HpackDecoder.java,org.apache.coyote.http2.HpackDecoder,class,7,82,1,30,203,0.108333334,0.25,26,0,0,10,0,16,16,0,0,0,14,2,0,13,1,0,2,0,15,310,34,6,24,0,14,9,52,75,20,51,3,0,1,0,190,1,0,Important,Information disclosure,Affects: 8.5.0 to 8.5.61,1
apache-tomcat-8.5.65-src/java/org/apache/coyote/http2/HpackDecoder.java,java/org/apache/coyote/http2/HpackDecoder.java,org.apache.coyote.http2.HpackDecoder,class,7,82,1,30,203,0.108333334,0.25,26,0,0,10,0,16,16,0,0,0,14,2,0,13,1,0,2,0,15,310,34,6,24,0,14,9,52,75,20,51,3,0,1,0,190,1,0,Moderate,HTTP/2 request header mix-up,Affects: 8.5.0 to 8.5.61,1
apache-tomcat-8.5.65-src/java/org/apache/coyote/http2/HpackDecoder.java,java/org/apache/coyote/http2/HpackDecoder.java,org.apache.coyote.http2.HpackDecoder,class,7,82,1,30,203,0.108333334,0.25,26,0,0,10,0,16,16,0,0,0,14,2,0,13,1,0,2,0,15,310,34,6,24,0,14,9,52,75,20,51,3,0,1,0,190,1,0,Important,Remote Code Execution via session persistence,Affects: 8.5.0 to 8.5.61,1
apache-tomcat-8.5.65-src/java/org/apache/coyote/http2/HpackDecoder.java,java/org/apache/coyote/http2/HpackDecoder.java,org.apache.coyote.http2.HpackDecoder,class,7,82,1,30,203,0.108333334,0.25,26,0,0,10,0,16,16,0,0,0,14,2,0,13,1,0,2,0,15,310,34,6,24,0,14,9,52,75,20,51,3,0,1,0,190,1,0,Important,Denial of Service,Affects: 8.5.0 to 8.5.61,1
apache-tomcat-8.5.65-src/java/org/apache/coyote/http2/HpackDecoder.java,java/org/apache/coyote/http2/HpackDecoder.java,org.apache.coyote.http2.HpackDecoder,class,7,82,1,30,203,0.108333334,0.25,26,0,0,10,0,16,16,0,0,0,14,2,0,13,1,0,2,0,15,310,34,6,24,0,14,9,52,75,20,51,3,0,1,0,190,1,0,Low,XSS in SSI printenv,Affects: 8.5.0 to 8.5.61,1
apache-tomcat-8.5.65-src/java/org/apache/coyote/http2/HpackDecoder.java,java/org/apache/coyote/http2/HpackDecoder.java,org.apache.coyote.http2.HpackDecoder,class,7,82,1,30,203,0.108333334,0.25,26,0,0,10,0,16,16,0,0,0,14,2,0,13,1,0,2,0,15,310,34,6,24,0,14,9,52,75,20,51,3,0,1,0,190,1,0,Important,Denial of Service,Affects: 8.5.0 to 8.5.61,1
apache-tomcat-8.5.65-src/java/org/apache/coyote/http2/HpackEncoder.java,java/org/apache/coyote/http2/HpackEncoder.java,org.apache.coyote.http2.HpackEncoder,class,13,54,2,45,23,0.16666667,0.16666667,11,0,1,8,0,2,4,0,0,0,15,4,0,15,0,0,7,0,15,280,9,9,18,0,8,1,48,54,10,36,5,1,4,0,128,0,1,0,0,0,0
apache-tomcat-8.5.65-src/java/org/apache/coyote/http2/HpackException.java,java/org/apache/coyote/http2/HpackException.java,org.apache.coyote.http2.HpackException,class,0,2,3,0,1,0,0,2,0,0,0,0,2,2,0,0,0,1,1,0,1,0,0,1,0,0,9,0,0,0,0,0,0,1,1,0,1,0,0,0,0,26,0,0,0,0,0,0
apache-tomcat-8.5.65-src/java/org/apache/coyote/http2/HPackHuffman.java,java/org/apache/coyote/http2/HPackHuffman.java,org.apache.coyote.http2.HPackHuffman,class,6,40,1,20,0,0.33333334,0.33333334,2,2,2,0,0,0,3,0,0,0,6,6,0,5,1,0,6,0,7,476,6,8,6,0,22,4,836,334,23,45,5,0,1,0,139,1,0,0,0,0,0
apache-tomcat-8.5.65-src/java/org/apache/coyote/http2/Http2Exception.java,java/org/apache/coyote/http2/Http2Exception.java,org.apache.coyote.http2.Http2Exception,class,1,3,3,0,0,1,1,3,0,0,0,0,3,3,0,0,0,2,1,0,2,0,0,2,0,0,15,1,0,0,0,0,0,1,3,0,2,0,0,0,0,15,1024,0,0,0,0,0
apache-tomcat-8.5.65-src/java/org/apache/coyote/http2/Http2OutputBuffer.java,java/org/apache/coyote/http2/Http2OutputBuffer.java,org.apache.coyote.http2.Http2OutputBuffer,class,6,8,1,8,0,1,1,7,0,7,0,0,0,7,0,0,0,2,0,0,2,0,0,1,0,0,30,3,0,0,0,0,0,0,3,0,2,1,0,0,0,51,1,0,0,0,0,0
apache-tomcat-8.5.65-src/java/org/apache/coyote/http2/Http2Parser.java,java/org/apache/coyote/http2/Http2Parser.java,org.apache.coyote.http2.Http2Parser,class,17,96,1,77,0,0.5,0.6,19,0,0,14,2,3,5,0,0,0,11,3,0,10,0,1,7,0,69,427,4,5,18,6,1,28,62,85,9,62,5,0,2,0,239,0,5,Important,AJP Request Injection and potential Remote Code Execution,Affects: 8.5.0 to 8.5.61,1
apache-tomcat-8.5.65-src/java/org/apache/coyote/http2/Http2Parser.java,java/org/apache/coyote/http2/Http2Parser.java,org.apache.coyote.http2.Http2Parser,class,17,96,1,77,0,0.5,0.6,19,0,0,14,2,3,5,0,0,0,11,3,0,10,0,1,7,0,69,427,4,5,18,6,1,28,62,85,9,62,5,0,2,0,239,0,5,Important,AJP Request Injection and potential Remote Code Execution,Affects: 8.5.0 to 8.5.61,1
apache-tomcat-8.5.65-src/java/org/apache/coyote/http2/Http2Protocol.java,java/org/apache/coyote/http2/Http2Protocol.java,org.apache.coyote.http2.Http2Protocol,class,22,71,1,65,1530,0.06779661,0.07570621,60,0,58,0,2,0,60,0,0,0,37,16,0,26,0,11,17,0,5,283,39,3,3,1,0,7,13,68,0,49,3,0,0,0,133,1,1,0,0,0,0
apache-tomcat-8.5.65-src/java/org/apache/coyote/http2/Http2UpgradeHandler.java,java/org/apache/coyote/http2/Http2UpgradeHandler.java,org.apache.coyote.http2.Http2UpgradeHandler,class,46,305,2,212,3089,0.13959613,0.38147497,94,0,48,26,6,14,68,0,2,1,49,12,0,48,1,0,24,0,62,1375,55,21,56,15,16,48,187,230,37,159,8,0,4,0,425,0,32,Moderate,HTTP/2 DoS,Affects: 8.5.0 to 8.5.61,1
apache-tomcat-8.5.65-src/java/org/apache/coyote/http2/Http2UpgradeHandler.java,java/org/apache/coyote/http2/Http2UpgradeHandler.java,org.apache.coyote.http2.Http2UpgradeHandler,class,46,305,2,212,3089,0.13959613,0.38147497,94,0,48,26,6,14,68,0,2,1,49,12,0,48,1,0,24,0,62,1375,55,21,56,15,16,48,187,230,37,159,8,0,4,0,425,0,32,Low,Session fixation,Affects: 7.0.0 to 7.0.107,1
apache-tomcat-8.5.65-src/java/org/apache/coyote/http2/Http2UpgradeHandler.java,java/org/apache/coyote/http2/Http2UpgradeHandler.java,org.apache.coyote.http2.Http2UpgradeHandler,class,46,305,2,212,3089,0.13959613,0.38147497,94,0,48,26,6,14,68,0,2,1,49,12,0,48,1,0,24,0,62,1375,55,21,56,15,16,48,187,230,37,159,8,0,4,0,425,0,32,Low,Session fixation,Affects: 7.0.0 to 7.0.106,1
apache-tomcat-8.5.65-src/java/org/apache/coyote/http2/Http2UpgradeHandler.java,java/org/apache/coyote/http2/Http2UpgradeHandler.java,org.apache.coyote.http2.Http2UpgradeHandler,class,46,305,2,212,3089,0.13959613,0.38147497,94,0,48,26,6,14,68,0,2,1,49,12,0,48,1,0,24,0,62,1375,55,21,56,15,16,48,187,230,37,159,8,0,4,0,425,0,32,Low,Session fixation,Affects: 7.0.27 to 7.0.104,1
apache-tomcat-8.5.65-src/java/org/apache/coyote/http2/Http2UpgradeHandler.java,java/org/apache/coyote/http2/Http2UpgradeHandler.java,org.apache.coyote.http2.Http2UpgradeHandler,class,46,305,2,212,3089,0.13959613,0.38147497,94,0,48,26,6,14,68,0,2,1,49,12,0,48,1,0,24,0,62,1375,55,21,56,15,16,48,187,230,37,159,8,0,4,0,425,0,32,Low,Session fixation,Affects: 7.0.27 to 7.0.104,1
