,file,class,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,version,title,severity,vulnerable
0,apache-tomcat-10.0.4-src/java/jakarta/el/ArrayELResolver.java,java/jakarta/el/ArrayELResolver.java,6,35,2,19,33,0.21428572,0.21428572,10,2,8,2,0,0,8,0,2,0,1,0,0,1,0,0,1,0,19,92,13,0,7,2,3,3,4,6,0,5,2,0,0,0,43,1,0,10,0,0,0.0
1,apache-tomcat-10.0.4-src/java/jakarta/el/BeanELResolver.java,java/jakarta/el/BeanELResolver.java,11,35,2,34,33,0.13333334,0.13333334,10,0,9,1,0,0,10,0,1,0,4,2,0,4,0,0,4,0,21,253,15,1,15,4,0,6,0,24,0,20,2,0,3,1,70,1,0,10,0,0,0.0
2,apache-tomcat-10.0.4-src/java/jakarta/el/BeanNameELResolver.java,java/jakarta/el/BeanNameELResolver.java,7,26,2,13,1,0.47619048,0.47619048,7,0,7,0,0,0,7,0,0,0,1,0,0,1,0,0,1,0,10,102,12,0,4,5,4,1,0,10,0,10,2,0,0,0,32,1,0,10,0,0,0.0
3,apache-tomcat-10.0.4-src/java/jakarta/el/BeanNameResolver.java,java/jakarta/el/BeanNameResolver.java,1,5,1,0,10,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,68,1025,0,10,0,0,0.0
4,apache-tomcat-10.0.4-src/java/jakarta/el/CompositeELResolver.java,java/jakarta/el/CompositeELResolver.java,3,32,2,14,0,0.8181818,0.8181818,10,0,10,0,0,0,11,0,0,0,3,1,0,3,0,0,1,0,3,162,14,7,4,1,1,1,12,31,1,27,4,0,1,0,58,1,0,10,0,0,0.0
5,apache-tomcat-10.0.4-src/java/jakarta/el/ELClass.java,java/jakarta/el/ELClass.java,0,2,1,0,0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,6,1,0,10,0,0,0.0
6,apache-tomcat-10.0.4-src/java/jakarta/el/ELContext.java,java/jakarta/el/ELContext.java,9,42,1,21,189,0.09090909,0.09090909,22,0,22,0,0,0,22,3,0,0,6,0,0,6,0,0,0,0,8,139,15,5,10,4,0,0,0,12,0,10,3,0,0,0,137,1025,0,10,0,0,0.0
7,apache-tomcat-10.0.4-src/java/jakarta/el/ELContextEvent.java,java/jakarta/el/ELContextEvent.java,1,2,1,1,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,9,1,0,0,0,0,0,1,1,0,1,0,0,0,0,20,1,0,10,0,0,0.0
8,apache-tomcat-10.0.4-src/java/jakarta/el/ELException.java,java/jakarta/el/ELException.java,0,4,4,0,6,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,0,15,0,0,0,0,0,0,1,1,0,1,0,0,0,0,34,1,0,10,0,0,0.0
9,apache-tomcat-10.0.4-src/java/jakarta/el/ELManager.java,java/jakarta/el/ELManager.java,13,14,1,16,64,0.015151516,0.015151516,12,1,12,0,0,0,12,0,0,0,1,0,0,1,0,0,0,0,2,50,5,0,2,0,0,0,0,5,0,3,1,0,0,0,41,1,0,10,0,0,0.0
10,apache-tomcat-10.0.4-src/java/jakarta/el/ELProcessor.java,java/jakarta/el/ELProcessor.java,9,38,1,34,2,0.4722222,0.5833333,9,1,8,1,0,0,9,0,0,0,5,2,0,5,0,0,5,0,16,244,7,2,15,0,0,16,7,25,3,19,8,0,1,0,80,1,0,10,0,0,0.0
11,apache-tomcat-10.0.4-src/java/jakarta/el/ELResolver.java,java/jakarta/el/ELResolver.java,1,8,1,1,28,0.0,0.0,8,0,8,0,0,0,8,6,0,0,2,2,2,0,0,0,2,0,0,17,2,0,0,0,0,2,0,2,0,2,0,0,0,0,108,1025,0,10,0,0,0.0
12,apache-tomcat-10.0.4-src/java/jakarta/el/EvaluationListener.java,java/jakarta/el/EvaluationListener.java,1,3,1,0,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1025,0,10,0,0,0.0
13,apache-tomcat-10.0.4-src/java/jakarta/el/Expression.java,java/jakarta/el/Expression.java,0,4,1,0,6,0.0,0.0,4,0,4,0,0,0,4,4,0,0,1,1,0,1,0,0,1,0,0,7,0,0,0,0,0,0,1,1,0,1,0,0,0,0,19,1025,0,10,0,0,0.0
14,apache-tomcat-10.0.4-src/java/jakarta/el/ExpressionFactory.java,java/jakarta/el/ExpressionFactory.java,10,43,1,38,64,0.0,0.0,12,6,8,4,0,0,9,4,1,0,5,5,0,5,0,0,5,0,20,219,11,1,16,6,1,12,2,43,2,25,4,0,2,1,163,1025,0,10,0,0,0.0
15,apache-tomcat-10.0.4-src/java/jakarta/el/FunctionMapper.java,java/jakarta/el/FunctionMapper.java,0,2,1,0,1,0.0,0.0,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1025,0,10,0,0,0.0
16,apache-tomcat-10.0.4-src/java/jakarta/el/ImportHandler.java,java/jakarta/el/ImportHandler.java,6,48,1,43,15,0.14285715,0.1904762,7,0,6,1,0,0,7,0,0,0,6,2,0,6,0,0,2,0,20,384,11,3,13,2,1,216,5,35,5,31,4,0,2,0,73,1,0,10,0,0,0.0
17,apache-tomcat-10.0.4-src/java/jakarta/el/Jre9Compat.java,java/jakarta/el/Jre9Compat.java,1,9,2,8,1,0.16666667,0.16666667,3,1,3,0,0,0,4,0,0,0,3,3,0,3,0,0,3,0,1,45,5,0,1,3,2,4,0,12,0,9,1,0,0,0,36,0,0,10,0,0,0.0
18,apache-tomcat-10.0.4-src/java/jakarta/el/JreCompat.java,java/jakarta/el/JreCompat.java,2,5,1,1,3,0.0,0.0,3,1,3,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,1,20,3,0,0,0,0,0,0,2,0,1,1,0,0,0,46,0,0,10,0,0,0.0
19,apache-tomcat-10.0.4-src/java/jakarta/el/LambdaExpression.java,java/jakarta/el/LambdaExpression.java,5,9,1,11,0,0.6666667,1.0,4,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,3,0,4,45,2,1,2,1,1,2,3,12,0,9,2,0,0,0,24,1,0,10,0,0,0.0
20,apache-tomcat-10.0.4-src/java/jakarta/el/ListELResolver.java,java/jakarta/el/ListELResolver.java,7,30,2,17,24,0.21428572,0.21428572,9,1,8,1,0,0,8,0,1,0,2,1,0,2,0,0,2,0,11,97,14,0,1,2,3,3,5,11,0,10,3,0,0,0,53,1,0,10,0,0,0.0
21,apache-tomcat-10.0.4-src/java/jakarta/el/MapELResolver.java,java/jakarta/el/MapELResolver.java,5,17,2,23,16,0.21428572,0.21428572,8,0,8,0,0,0,8,0,0,0,2,1,0,2,0,0,2,0,6,79,10,1,0,1,3,3,0,8,0,7,2,0,0,0,46,1,0,10,0,0,0.0
22,apache-tomcat-10.0.4-src/java/jakarta/el/MethodExpression.java,java/jakarta/el/MethodExpression.java,3,4,2,0,6,0.0,0.0,4,0,4,0,0,0,4,2,0,0,1,1,0,1,0,0,1,0,0,11,2,0,0,0,0,0,1,1,0,1,0,0,0,0,84,1025,0,10,0,0,0.0
23,apache-tomcat-10.0.4-src/java/jakarta/el/MethodInfo.java,java/jakarta/el/MethodInfo.java,0,4,1,0,0,0.5,1.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,3,0,0,19,3,0,0,0,0,0,0,3,0,3,0,0,0,0,11,1,0,10,0,0,0.0
24,apache-tomcat-10.0.4-src/java/jakarta/el/MethodNotFoundException.java,java/jakarta/el/MethodNotFoundException.java,1,4,5,0,6,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,0,15,0,0,0,0,0,0,1,1,0,1,0,0,0,0,15,1,0,10,0,0,0.0
25,apache-tomcat-10.0.4-src/java/jakarta/el/PropertyNotFoundException.java,java/jakarta/el/PropertyNotFoundException.java,1,4,5,0,6,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,0,15,0,0,0,0,0,0,1,1,0,1,0,0,0,0,15,1,0,10,0,0,0.0
26,apache-tomcat-10.0.4-src/java/jakarta/el/PropertyNotWritableException.java,java/jakarta/el/PropertyNotWritableException.java,1,4,5,0,6,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,0,15,0,0,0,0,0,0,1,1,0,1,0,0,0,0,15,1,0,10,0,0,0.0
27,apache-tomcat-10.0.4-src/java/jakarta/el/ResourceBundleELResolver.java,java/jakarta/el/ResourceBundleELResolver.java,4,16,2,19,21,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,71,10,1,1,1,2,4,0,4,1,4,3,0,0,0,35,1,0,10,0,0,0.0
28,apache-tomcat-10.0.4-src/java/jakarta/el/StandardELContext.java,java/jakarta/el/StandardELContext.java,17,12,5,8,4,0.44444445,1.0,9,0,8,0,0,1,9,0,0,0,6,0,0,6,0,0,6,0,0,128,6,0,3,0,0,0,0,12,0,7,1,0,3,0,39,1,0,10,0,0,0.0
29,apache-tomcat-10.0.4-src/java/jakarta/el/StaticFieldELResolver.java,java/jakarta/el/StaticFieldELResolver.java,9,34,2,26,21,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,22,125,10,0,3,4,4,5,0,30,0,26,3,0,0,0,62,1,0,10,0,0,0.0
30,apache-tomcat-10.0.4-src/java/jakarta/el/TypeConverter.java,java/jakarta/el/TypeConverter.java,2,7,2,0,21,0.0,0.0,7,0,7,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1025,0,10,0,0,0.0
31,apache-tomcat-10.0.4-src/java/jakarta/el/Util.java,java/jakarta/el/Util.java,11,124,3,74,89,0.0,0.0,14,14,0,5,0,9,9,0,1,0,4,4,0,4,0,0,4,0,40,572,26,15,59,6,7,13,25,113,9,64,7,0,7,0,164,0,0,10,0,0,0.0
32,apache-tomcat-10.0.4-src/java/jakarta/el/ValueExpression.java,java/jakarta/el/ValueExpression.java,3,6,2,3,15,0.0,0.0,6,0,6,0,0,0,6,5,0,0,1,1,0,1,0,0,1,0,0,13,1,0,0,0,0,0,1,1,0,1,0,0,0,0,72,1025,0,10,0,0,0.0
33,apache-tomcat-10.0.4-src/java/jakarta/el/ValueReference.java,java/jakarta/el/ValueReference.java,0,3,1,0,0,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,3,1,0,3,0,0,3,0,0,15,2,0,0,0,0,0,1,3,0,3,0,0,0,0,17,1,0,10,0,0,0.0
34,apache-tomcat-10.0.4-src/java/jakarta/el/VariableMapper.java,java/jakarta/el/VariableMapper.java,1,2,1,0,1,0.0,0.0,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1025,0,10,0,0,0.0
35,apache-tomcat-10.0.4-src/java/jakarta/mail/Authenticator.java,java/jakarta/mail/Authenticator.java,1,1,1,0,0,0.0,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,10,0,0,0.0
36,apache-tomcat-10.0.4-src/java/jakarta/mail/internet/InternetAddress.java,java/jakarta/mail/internet/InternetAddress.java,0,1,1,0,0,0.0,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,10,0,0,0.0
37,apache-tomcat-10.0.4-src/java/jakarta/mail/internet/MimeMessage.java,java/jakarta/mail/internet/MimeMessage.java,3,3,1,0,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,1,0,10,0,0,0.0
38,apache-tomcat-10.0.4-src/java/jakarta/mail/internet/MimePartDataSource.java,java/jakarta/mail/internet/MimePartDataSource.java,1,1,1,0,0,0.0,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,10,0,0,0.0
